median_age,Zip Code,total_population,percent_white,percent_black,percent_asian,percent_hispanic,Per Capita Income,median_rent,ALAND10,AWATER10,CITY,AREA
48.5,5358,206,98,0,0,2,39521,NA,32445518,13590,WEST HALIFAX,17.34677
54.7,5359,538,90,1,1,1,35846,628,76600708,214714,WEST TOWNSHEND,26.19441
40.2,5360,240,99,0,0,0,29524,813,125995581,7411111,WEST WARDSBORO,49.33566
41,5361,957,98,0,0,0,25167,575,78687828,5750826,WHITINGHAM,28.11204
47.7,5362,130,100,0,0,0,33892,NA,6872693,178763,WILLIAMSVILLE,3.54656
47.3,5363,2715,95,1,1,0,31714,762,166272266,5561816,WILMINGTON,62.13536
47.3,5363,2715,95,1,1,0,31714,762,166272266,5561816,WILMINGTON,62.13536
27.5,5401,27908,85,4,6,2,26259,898,15340630,341094,BURLINGTON,10.52592
40.4,5403,17998,89,3,4,1,37385,1024,42477879,496629,SOUTH BURLINGTON,16.67488
31.7,5404,7071,86,6,4,2,25139,853,3697712,206068,WINOOSKI,1.52778
19.5,5405,4259,88,2,3,3,7053,NA,602868,0,BURLINGTON,0.18979
43.8,5440,1763,97,0,0,1,27361,664,75475526,1489358,ALBURG,30.15141
33.7,5441,1134,96,0,0,2,23889,732,82423257,216236,BAKERSFIELD,23.36968
41.8,5442,315,95,0,1,2,20189,850,82799138,127630,BELVIDERE CENTER,21.90545
45.5,5443,6467,95,0,2,2,27723,726,293742095,2780255,BRISTOL,109.67877
41.3,5444,1637,97,0,0,0,33744,708,52428562,664494,CAMBRIDGE,25.66394
41.3,5444,1637,97,0,0,0,33744,708,52428562,664494,CAMBRIDGE,25.66394
41.3,5444,1637,97,0,0,0,33744,708,52428562,664494,CAMBRIDGE,25.66394
46.2,5445,3776,94,0,1,4,60961,1125,106860729,391733,CHARLOTTE,40.49338
46.2,5445,3776,94,0,1,4,60961,1125,106860729,391733,CHARLOTTE,40.49338
36,5446,15736,94,1,1,2,33014,880,94938818,2183685,COLCHESTER,38.0863
47.4,5447,115,84,0,0,9,27758,NA,790255,12424,EAST BERKSHIRE,4.69583
45.7,5448,1129,97,0,1,1,34974,600,105085951,409339,EAST FAIRFIELD,51.68639
39.7,5450,4874,94,1,0,2,24149,598,307875270,2866951,ENOSBURG FALLS,109.58896
39.5,5452,20010,92,2,2,2,34633,891,107559238,1236616,ESSEX JUNCTION,42.81952
38.7,5454,4754,96,0,0,1,31192,928,122742035,3343760,FAIRFAX,51.90156
38.7,5454,4754,96,0,0,1,31192,928,122742035,3343760,FAIRFAX,51.90156
39.3,5455,1133,98,0,0,1,27895,533,86295067,642413,FAIRFIELD,20.76727
41.1,5456,1349,98,1,0,1,27299,713,62043502,2507567,FERRISBURG,24.70047
44,5457,1334,95,0,1,2,26666,721,99545688,6083869,FRANKLIN,48.40994
47.1,5458,2293,94,1,0,1,35043,828,42418668,38233,GRAND ISLE,16.56078
28.5,5459,2450,95,0,1,0,21434,878,66390873,1290527,HIGHGATE CENTER,23.71184
43.5,5461,4525,94,0,1,0,32647,876,106591272,1046565,HINESBURG,40.09296
43.5,5461,4525,94,0,1,0,32647,876,106591272,1046565,HINESBURG,40.09296
42.9,5462,1965,96,0,0,2,33256,886,98267307,257454,HUNTINGTON,35.34648
42.9,5462,1965,96,0,0,2,33256,886,98267307,257454,HUNTINGTON,35.34648
36.9,5463,500,83,0,1,2,25322,692,20421051,30859,ISLE LA MOTTE,7.85679
36.6,5464,2826,97,0,0,1,27109,803,167851771,1055581,JEFFERSONVILLE,55.10866
36.6,5464,2826,97,0,0,1,27109,803,167851771,1055581,JEFFERSONVILLE,55.10866
41.4,5465,5349,95,1,0,1,40467,940,112764358,493886,JERICHO,35.91497
40,5468,13156,95,0,0,2,29188,856,165434037,3920251,MILTON,67.4204
40,5468,13156,95,0,0,2,29188,856,165434037,3920251,MILTON,67.4204
47.2,5471,745,97,2,0,2,26660,756,133793745,150942,MONTGOMERY CENTER,55.25014
47.2,5471,745,97,2,0,2,26660,756,133793745,150942,MONTGOMERY CENTER,55.25014
46.9,5472,1577,94,0,0,4,31051,860,102067642,691897,NEW HAVEN,46.86097
46.9,5473,1501,95,2,1,0,36043,775,48953352,942421,NORTH FERRISBURG,17.22776
46.6,5474,896,97,0,0,3,39122,621,34846767,45523,NORTH HERO,12.67719
38.5,5476,3388,89,0,0,4,19917,684,165165794,1233355,RICHFORD,62.36479
38.5,5476,3388,89,0,0,4,19917,684,165165794,1233355,RICHFORD,62.36479
38.4,5477,4509,93,2,2,1,35370,830,120206274,1353653,RICHMOND,50.72466
42.2,5478,13868,94,1,1,1,28830,703,156621182,1521217,SAINT ALBANS,65.67395
46.1,5482,7387,97,0,1,2,51295,1031,63444944,2014059,SHELBURNE,25.15489
35.9,5483,1481,98,0,0,0,24743,636,52677981,2512106,SHELDON,26.01471
47.9,5486,1532,94,0,0,1,36080,790,38682120,37476,SOUTH HERO,14.79642
37.7,5487,1537,97,1,1,0,27096,657,116545575,323401,STARKSBORO,39.76849
37.7,5487,1537,97,1,1,0,27096,657,116545575,323401,STARKSBORO,39.76849
38,5488,7990,94,0,0,1,28278,712,167280132,4616852,SWANTON,69.86375
44,5489,3129,96,0,1,1,42718,894,137270486,189140,UNDERHILL,61.7769
42.5,5491,5917,93,2,1,2,27592,748,223222939,9000999,VERGENNES,96.13147
41,5492,727,97,0,0,0,23399,859,42647742,149883,WATERVILLE,19.761
43.5,5494,1702,95,0,1,1,36505,833,88606177,524365,WESTFORD,25.37281
44.9,5495,9513,92,1,3,2,39694,966,86688169,1313041,WILLISTON,34.54742
44.5,5602,11711,95,1,1,2,33117,819,210287681,3095921,MONTPELIER,86.82131
51.1,5640,256,87,0,0,2,23354,NA,9628235,144980,ADAMANT,5.21895
42.6,5641,17298,95,1,1,0,27985,661,140073486,987476,BARRE,68.77404
42.6,5641,17298,95,1,1,0,27985,661,140073486,987476,BARRE,68.77404
46,5647,1096,98,0,0,0,26612,725,76230384,1689185,CABOT,31.0019
46,5647,1096,98,0,0,0,26612,725,76230384,1689185,CABOT,31.0019
49.6,5648,384,96,0,2,0,38577,NA,23100640,569851,CALAIS,5.95641
31.9,5649,971,89,0,0,11,21151,528,40439568,117979,EAST BARRE,3.90541
31.9,5649,971,89,0,0,11,21151,528,40439568,117979,EAST BARRE,3.90541
40.1,5650,1080,91,0,0,2,25564,772,60979704,1783725,EAST CALAIS,20.09347
41.3,5651,1609,96,0,0,4,28564,935,44496803,480382,EAST MONTPELIER,17.36107
37.2,5652,896,96,1,0,1,22737,875,81138877,895469,EDEN,41.7979
35.7,5653,486,99,0,0,0,18775,821,82811386,1664633,EDEN MILLS,34.53122
49.1,5654,631,95,0,2,2,29270,294,7487904,109072,GRANITEVILLE,5.27742
49.1,5654,631,95,0,2,2,29270,294,7487904,109072,GRANITEVILLE,5.27742
45.1,5655,2912,95,0,1,3,25946,637,87894853,3254223,HYDE PARK,37.73932
28.2,5656,3593,89,2,0,2,15845,645,120922169,991734,JOHNSON,46.97512
41.6,5658,1505,94,0,0,4,22443,623,97260018,2491290,MARSHFIELD,35.58583
41.6,5658,1505,94,0,0,4,22443,623,97260018,2491290,MARSHFIELD,35.58583
47.5,5660,1673,95,0,1,3,37956,942,102910450,478460,MORETOWN,41.25262
43.7,5661,5716,96,0,0,2,29313,704,171151055,1503269,MORRISVILLE,53.18985
30.8,5663,6968,92,1,2,3,23316,725,141985635,449985,NORTHFIELD,65.9362
30.8,5663,6968,92,1,2,3,23316,725,141985635,449985,NORTHFIELD,65.9362
42.4,5667,2343,90,3,1,3,25059,710,117134416,618434,PLAINFIELD,53.23816
42.8,5669,644,99,0,0,1,20618,694,109853041,129526,ROXBURY,32.4148
41,5672,4345,97,0,1,1,38644,980,188029703,424424,STOWE,70.37047
44.8,5673,2441,99,0,0,1,36612,741,142010041,483510,WAITSFIELD,59.64783
44.8,5673,2441,99,0,0,1,36612,741,142010041,483510,WAITSFIELD,59.64783
46.3,5674,1548,98,0,1,1,37141,629,103409225,128832,WARREN,39.9156
46.9,5675,1066,90,3,1,3,27142,529,102947131,138682,WASHINGTON,35.3404
43.6,5676,4999,96,0,1,3,31809,863,262974583,3585963,WATERBURY,102.56393
43.6,5676,4999,96,0,1,3,31809,863,262974583,3585963,WATERBURY,102.56393
47.2,5677,2157,94,1,2,0,40230,728,39857146,1591524,WATERBURY CENTER,15.06264
41,5679,3350,97,0,0,3,24145,760,102937658,472578,WILLIAMSTOWN,42.65424
42.8,5680,2078,98,0,0,0,22872,684,171990341,1488884,WOLCOTT,77.04867
37.7,5681,325,99,0,0,0,29018,NA,66107284,3025263,WOODBURY,28.43885
43.7,5682,1229,95,0,1,1,28598,817,119580795,494340,WORCESTER,49.19574
44.7,5701,20361,96,1,1,1,25459,704,150829259,650716,RUTLAND,47.07424
57.5,5730,282,99,0,0,0,42139,NA,35911961,310185,BELMONT,8.24137
41,5732,809,100,0,0,0,24625,761,25461752,4088767,BOMOSEEN,7.03449
47.7,5733,5799,98,0,0,1,26931,623,295941812,4270523,BRANDON,106.69192
47.7,5733,5799,98,0,0,1,26931,623,295941812,4270523,BRANDON,106.69192
46.3,5734,1227,96,0,0,4,31517,705,114233926,542722,BRIDPORT,40.59545
34.6,5735,4106,95,2,0,1,26092,691,110986028,6019344,CASTLETON,42.93462
48.4,5736,788,97,0,1,0,36613,495,15511275,185264,CENTER RUTLAND,3.64865
45.6,5737,770,98,0,1,1,38759,685,166225613,3145646,CHITTENDEN,11.76201
50,5738,1165,98,0,0,2,32146,1083,129702288,534160,CUTTINGSVILLE,62.84331
42,5739,1510,95,0,0,2,27943,775,141638603,479824,DANBY,68.78224
35.4,5742,643,99,0,0,0,25312,708,66695507,738813,EAST WALLINGFORD,22.4978
41.9,5743,4291,93,0,1,5,21873,657,256046668,5865554,FAIR HAVEN,98.07855
31.8,5744,683,100,0,0,0,20378,741,57617408,210958,FLORENCE,18.52885
41.2,5747,319,96,0,1,0,27955,742,131031228,249739,GRANVILLE,54.5754
41.7,5748,370,95,0,1,1,19947,521,98481526,278675,HANCOCK,38.29476
48.1,5751,850,93,0,1,3,33948,887,120651425,705214,KILLINGTON,45.96579
32.5,5753,10545,91,1,4,2,30167,791,219488865,2771924,MIDDLEBURY,91.07948
49,5757,826,95,0,0,1,24194,625,63405659,35581,MIDDLETOWN SPRINGS,34.49226
50.2,5758,842,94,0,0,0,25864,787,78065392,874388,MOUNT HOLLY,30.22541
