town,type,gross,past_gross,past_use,use
GROTON,Sales and Use,7836233.0,7351981.54,0.0,0.0
GUILFORD,Sales and Use,3478938.23,3554040.4699999997,0.0,0.0
HALIFAX,Sales and Use,1039174.09,1930051.74,0.0,0.0
HANCOCK,Sales and Use,515058.1,895794.44,0.0,0.0
HARDWICK,Meals and Rooms,97554419.18,87062310.41,0.0,0.0
HARDWICK,Meals and Rooms,101441371.19999999,97481459.39,0.0,0.0
HARDWICK,Sales and Use,102813545.92,99548362.08,110838.00000000006,150421.66666666663
HARTFORD,Meals and Rooms,341284926.13,320974209.69,1450978.6666666667,3113471.3333333307
HARTFORD,Meals and Rooms,372445139.74,341393540.99,3128043.6666666637,3128460.166666667
HARTFORD,Sales and Use,406287611.49,381288261.24,3616900.666666667,3425536.8333333344
HARTLAND,Meals and Rooms,14198339.65,12757066.94,0.0,0.0
HARTLAND,Meals and Rooms,10041354.52,14286487.61,0.0,0.0
HARTLAND,Sales and Use,14770368.01,15798396.69,235229.1666666666,245147.6666666668
HIGHGATE,Meals and Rooms,19572338.45,17199500.85,0.0,0.0
HIGHGATE,Meals and Rooms,20150668.73,19572338.45,0.0,0.0
HIGHGATE,Sales and Use,21908516.86,21681397.31,0.0,0.0
HINESBURG,Meals and Rooms,62668276.59,96762169.57,0.0,0.0
HINESBURG,Meals and Rooms,82143836.24,61550475.06,0.0,52218.83333333327
HINESBURG,Sales and Use,88015445.53,68211774.77,139580.83333333337,298191.33333333343
HUNTINGTON,Sales and Use,2385351.45,2460169.29,0.0,0.0
HYDE PARK,Meals and Rooms,31291484.34,32273151.62,0.0,0.0
HYDE PARK,Meals and Rooms,30773803.77,31295830.71,0.0,0.0
HYDE PARK,Sales and Use,41339009.44,42214690.74,0.0,0.0
IRASBURG,Meals and Rooms,15095694.32,5372483.75,0.0,0.0
IRASBURG,Meals and Rooms,9529613.52,15083792.68,0.0,0.0
IRASBURG,Sales and Use,17174870.31,20826331.31,0.0,0.0
JAMAICA,Meals and Rooms,17329942.49,7960009.62,0.0,0.0
